Date,Close,Compound,Open,High,Low
03/11/2021,$699.6,0.1531,$699.4,$702.5,$677.18
03/10/2021,$668.06,-0.1027,$700.3,$717.85,$655.06
03/09/2021,$673.58,-0.296,$608.18,$678.09,$595.21
03/08/2021,$563,-0.1298,$600.55,$620.125,$558.79
03/05/2021,$597.95,0,$626.06,$627.8419,$539.49
03/04/2021,$621.44,0.3182,$655.8,$873.94,$600
03/03/2021,$653.2,0,$687.99,$700.7,$651.705
03/02/2021,$686.44,0,$718.28,$721.11,$685
03/01/2021,$718.43,0,$690.11,$872,$685.05
02/26/2021,$675.5,-0.296,$700,$706.7,$659.51
02/25/2021,$682.22,0.3612,$726.15,$737.2066,$670.58
02/24/2021,$742.02,0,$711.85,$745,$694.17
02/23/2021,$698.84,0.5719,$662.13,$713.6099,$619
02/22/2021,$714.5,0.2263,$762.64,$768.5,$710.2
02/19/2021,$781.3,0.4404,$795,$796.7899,$777.37
02/18/2021,$787.38,0.6369,$780.9,$794.69,$776.27
02/17/2021,$798.15,0.4939,$779.09,$799.84,$762.01
02/16/2021,$796.22,0.296,$818,$821,$792.44
02/12/2021,$816.12,0.4404,$801.26,$817.33,$785.3306
02/11/2021,$811.66,0,$812.44,$829.8799,$801.725
02/10/2021,$804.82,0,$843.635,$844.82,$800.02
02/09/2021,$849.46,0,$855.12,$859.8,$841.75
02/08/2021,$863.42,0,$869.67,$877.77,$854.75
02/05/2021,$852.23,-0.4939,$845,$864.77,$838.97
02/04/2021,$849.99,0,$855,$856.5,$833.42
02/03/2021,$854.69,0,$877.02,$878.08,$853.0646
02/02/2021,$872.79,0,$844.68,$880.5,$842.2006
02/01/2021,$839.81,0,$814.29,$842,$795.5601
01/29/2021,$793.53,0.25,$830,$842.41,$780.1
01/28/2021,$835.43,0,$820,$848,$801
01/27/2021,$864.16,0.25,$870.35,$891.5,$858.66
01/26/2021,$883.09,0,$891.38,$895.9,$871.6
01/25/2021,$880.8,0,$855,$900.4,$838.8201
01/22/2021,$846.64,0.6369,$834.31,$848,$828.62
01/21/2021,$844.99,0.4019,$855,$855.7199,$841.4201
